STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,GREEN,BROWN,PURPLE,PURPLE EXPRESS,Y,PINK,ORANGE,Location,latitude,longitude
30219,N,Kedzie (Loop-bound),Kedzie,Kedzie (Orange Line),41150,True,False,False,False,False,False,False,False,False,True,"(41.804236, -87.704406)",41.804236,-87.704406
30090,N,Merchandise Mart (Kimball-Linden-bound),Merchandise Mart,Merchandise Mart (Brown & Purple lines),40460,True,False,False,False,True,False,True,False,False,False,"(41.888969, -87.633924)",41.888969,-87.633924
30048,E,Kedzie-Homan (O'Hare-bound),Kedzie-Homan,Kedzie-Homan (Blue Line),40250,True,False,True,False,False,False,False,False,False,False,"(41.874341, -87.70604)",41.874341,-87.70604
30157,E,Illinois Medical District (O'Hare-bound),Illinois Medical District,Illinois Medical District (Blue Line),40810,True,False,True,False,False,False,False,False,False,False,"(41.875706, -87.673932)",41.875706,-87.673932
30112,S,California (Forest Pk-bound),California,California  (Blue Line),40570,False,False,True,False,False,False,False,False,False,False,"(41.921939, -87.69689)",41.921939,-87.69689
30019,S,Damen (Loop-bound),Damen,Damen (Brown Line),40090,True,False,False,False,True,False,False,False,False,False,"(41.966286, -87.678639)",41.966286,-87.678639
30082,E,Cicero (Loop-bound),Cicero,Cicero (Pink Line),40420,True,False,False,False,False,False,False,False,True,False,"(41.85182, -87.745336)",41.85182,-87.745336
30169,N,Thorndale (Howard-bound),Thorndale,Thorndale (Red Line),40880,False,True,False,False,False,False,False,False,False,False,"(41.990259, -87.659076)",41.990259,-87.659076
30138,S,Chicago (Loop-bound),Chicago,Chicago (Brown & Purple lines),40710,True,False,False,False,True,False,True,False,False,False,"(41.89681, -87.635924)",41.89681,-87.635924
30225,N,Kedzie (Kimball-bound),Kedzie,Kedzie (Brown Line),41180,True,False,False,False,True,False,False,False,False,False,"(41.965996, -87.708821)",41.965996,-87.708821
30071,S,Southport (Loop-bound),Southport,Southport (Brown Line),40360,True,False,False,False,True,False,False,False,False,False,"(41.943744, -87.663619)",41.943744,-87.663619
30253,N,Paulina (Kimball-bound),Paulina,Paulina (Brown Line),41310,True,False,False,False,True,False,False,False,False,False,"(41.943623, -87.670907)",41.943623,-87.670907
30381,N,Cermak-McCormick Place (Harlem-bound),Cermak-McCormick Place,Cermak-McCormick Place (Green Line),41690,True,False,False,True,False,False,False,False,False,False,"(41.853115, -87.626402)",41.853115,-87.626402
30284,S,Western (Loop-bound),Western,Western (Brown Line),41480,True,False,False,False,True,False,False,False,False,False,"(41.966163, -87.688502)",41.966163,-87.688502
30040,E,Damen (Loop-bound),Damen,Damen (Pink Line),40210,True,False,False,False,False,False,False,False,True,False,"(41.854517, -87.675975)",41.854517,-87.675975
30026,N,Dempster-Skokie (Arrival),Dempster-Skokie,Dempster-Skokie  (Yellow Line),40140,True,False,False,False,False,False,False,True,False,False,"(42.038951, -87.751919)",42.038951,-87.751919
30287,N,Montrose (Kimball-bound),Montrose,Montrose (Brown Line),41500,True,False,False,False,True,False,False,False,False,False,"(41.961756, -87.675047)",41.961756,-87.675047
30004,W,Harlem (Terminal arrival),Harlem/Lake,Harlem/Lake (Green Line),40020,True,False,False,True,False,False,False,False,False,False,"(41.886848, -87.803176)",41.886848,-87.803176
30132,S,Adams/Wabash (Inner Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",40680,False,False,False,True,False,False,True,False,True,True,"(41.879507, -87.626037)",41.879507,-87.626037
30140,W,Cottage Grove (Harlem-bound),Cottage Grove,Cottage Grove (Green Line),40720,True,False,False,True,False,False,False,False,False,False,"(41.780309, -87.605857)",41.780309,-87.605857
30204,S,Linden (Howard-Loop-bound),Linden,Linden (Purple Line),41050,True,False,False,False,False,True,True,False,False,False,"(42.073153, -87.69073)",42.073153,-87.69073
30263,E,Oak Park (63rd-bound),Oak Park,Oak Park (Green Line),41350,False,False,False,True,False,False,False,False,False,False,"(41.886988, -87.793783)",41.886988,-87.793783
30088,N,95th/Dan Ryan (Howard-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),40450,True,True,False,False,False,False,False,False,False,False,"(41.722377, -87.624342)",41.722377,-87.624342
30201,E,Kedzie (Loop-bound),Kedzie,Kedzie (Pink Line),41040,True,False,False,False,False,False,False,False,True,False,"(41.853964, -87.705408)",41.853964,-87.705408
30387,E,Damen (63rd-bound),Damen,Damen (Green Line),41710,True,False,False,True,False,False,False,False,False,False,"(41.88497405, -87.67689149)",41.88497405,-87.67689149
30047,S,79th (95th-bound),79th,79th (Red Line),40240,True,True,False,False,False,False,False,False,False,False,"(41.750419, -87.625112)",41.750419,-87.625112
30129,N,Western (O'Hare Branch) (O'Hare-bound),Western,Western (Blue Line - O'Hare Branch),40670,True,False,True,False,False,False,False,False,False,False,"(41.916157, -87.687364)",41.916157,-87.687364
30285,N,Harrison (Howard-bound),Harrison,Harrison (Red Line),41490,False,True,False,False,False,False,False,False,False,False,"(41.874039, -87.627479)",41.874039,-87.627479
30195,N,Rockwell (Kimball-bound),Rockwell,Rockwell (Brown Line),41010,True,False,False,False,True,False,False,False,False,False,"(41.966115, -87.6941)",41.966115,-87.6941
30008,S,Quincy/Wells (Outer Loop),Quincy/Wells,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",40040,True,False,False,False,True,False,False,False,False,False,"(41.878723, -87.63374)",41.878723,-87.63374
